employee_id,gender,age,location,department,role,level,joining_date,college_tier,manager_id,status
200001,Male,41,Noida,Marketing,Marketing Manager,L4,2023-12-10,Tier-3,MGR1288,Active
200002,Male,50,Noida,Marketing,Marketing Director,L5,2018-05-11,Tier-3,MGR0002,Active
200003,Male,42,Chennai,Marketing,Marketing Manager,L4,2024-08-30,Tier-3,MGR0051,Active
200004,Female,37,Noida,Finance,Finance Analyst,L2,2019-04-20,Tier-2,MGR1476,Active
200005,Male,45,Chennai,Cloud,Cloud Architect,L5,2025-11-19,Tier-3,MGR1100,Active
200006,Male,28,Noida,Cloud,Cloud Associate,L1,2021-07-21,Tier-2,MGR1273,Active
200007,Female,23,Hyderabad,Data Science,Associate Data Scientist,L1,2025-02-25,Tier-2,MGR0977,Active
200008,Female,42,Chennai,Sales,Senior Account Executive,L3,2018-02-04,Tier-2,MGR0004,Exited
200009,Male,31,Chennai,Data Science,Data Scientist,L2,2025-02-26,Tier-2,MGR0555,Active
200010,Male,31,Hyderabad,Data Science,Associate Data Scientist,L1,2018-07-21,Tier-2,MGR0001,Active
200011,Female,33,Mumbai,Marketing,Marketing Specialist,L2,2020-10-13,Tier-2,MGR0711,Exited
200012,Female,35,Noida,Data Science,Senior Data Scientist,L3,2024-03-14,Tier-3,MGR0604,Active
200013,Male,25,Bengaluru,Engineering,Associate Software Engineer,L1,2021-09-29,Tier-3,MGR1489,Active
200014,Male,30,Pune,Marketing,Marketing Associate,L1,2019-01-27,Tier-2,MGR1070,Active
200015,Female,29,Hyderabad,HR,HR Specialist,L2,2023-09-20,Tier-2,MGR0165,Active
200016,Female,45,Bengaluru,Data Science,Data Science Manager,L5,2024-09-20,Tier-1,MGR0684,Active
200017,Female,28,Mumbai,Marketing,Marketing Specialist,L2,2020-08-18,Tier-3,MGR0742,Active
200018,Male,41,Bengaluru,Cloud,Senior Cloud Engineer,L3,2019-05-18,Tier-3,MGR1475,Active
200019,Male,43,Hyderabad,Support,Support Manager,L4,2022-01-24,Tier-1,MGR0951,Active
200020,Male,32,Bengaluru,Sales,Account Executive,L2,2018-04-06,Tier-2,MGR0007,Active
200021,Female,31,Noida,Sales,Sales Associate,L1,2019-06-25,Tier-3,MGR1286,Active
200022,Female,25,Pune,Sales,Sales Associate,L1,2022-12-25,Tier-3,MGR0084,Active
200023,Female,37,Noida,Support,Support Lead,L3,2020-11-17,Tier-3,MGR0083,Active
200024,Male,23,Chennai,Sales,Account Executive,L2,2024-02-16,Tier-2,MGR0681,Active
200025,Male,32,Chennai,Support,Senior Support Analyst,L2,2021-07-06,Tier-2,MGR0656,Active
200026,Male,37,Mumbai,Support,Support Lead,L3,2021-06-11,Tier-2,MGR0656,Exited
200027,Male,40,Bengaluru,Finance,Finance Lead,L4,2023-01-28,Tier-2,MGR1338,Active
200028,Male,41,Hyderabad,Sales,Sales Director,L4,2022-06-25,Tier-3,MGR1125,Exited
200029,Non-binary,47,Hyderabad,Engineering,Engineering Manager,L5,2022-05-09,Tier-3,MGR0502,Active
200030,Male,46,Bengaluru,Engineering,Lead Engineer,L4,2021-02-27,Tier-2,MGR1489,Active
200031,Male,45,Chennai,Finance,Finance Lead,L4,2018-05-03,Tier-1,MGR0016,Active
200032,Female,49,Noida,Marketing,Marketing Director,L5,2018-07-17,Tier-3,MGR0014,Active
200033,Male,24,Bengaluru,Engineering,Associate Software Engineer,L1,2024-11-16,Tier-2,MGR0787,Active
200034,Female,43,Pune,Cyber Security,Security Lead,L4,2022-03-15,Tier-3,MGR1265,Active
200035,Male,30,Chennai,Sales,Account Executive,L2,2023-05-14,Tier-3,MGR0359,Exited
200036,Female,39,Pune,Engineering,Lead Engineer,L4,2024-11-25,Tier-2,MGR0709,Active
200037,Female,51,Chennai,Cloud,Cloud Architect,L5,2019-09-16,Tier-2,MGR1475,Active
