employee_id,exit_date,exit_reason,voluntary
200187,2018-10-06,Performance Issues,False
200384,2018-12-15,Career Growth,True
200624,2018-06-15,Relocation,True
201626,2018-11-26,Better Opportunity,True
201660,2018-10-11,Relocation,True
201662,2018-12-23,Better Opportunity,True
201925,2018-05-18,Better Opportunity,True
202228,2018-11-08,Better Opportunity,True
202331,2018-05-09,Career Growth,True
202740,2018-12-16,Personal Reasons,True
203858,2018-09-14,Better Opportunity,True
203923,2018-11-19,Career Growth,True
204077,2018-11-26,Compensation,True
204185,2018-12-12,Better Opportunity,True
204219,2018-12-30,Compensation,True
204618,2018-12-15,Compensation,True
204843,2018-12-17,Better Opportunity,True
205143,2018-11-22,Better Opportunity,True
205336,2018-11-15,Compensation,True
205541,2018-06-17,Career Growth,True
205907,2018-10-02,Better Opportunity,True
206080,2018-08-21,Better Opportunity,True
206357,2018-09-01,Relocation,True
206467,2018-03-14,Relocation,True
206474,2018-05-13,Compensation,True
206598,2018-10-16,Better Opportunity,True
206858,2018-09-04,Better Opportunity,True
207256,2018-09-27,Better Opportunity,True
207374,2018-11-20,Better Opportunity,True
207512,2018-09-20,Career Growth,True
207564,2018-11-06,Career Growth,True
207897,2018-05-08,Better Opportunity,True
208132,2018-07-28,Compensation,True
208263,2018-12-11,Compensation,True
208361,2018-09-21,Better Opportunity,True
208775,2018-05-16,Career Growth,True
208801,2018-12-22,Better Opportunity,True
208882,2018-12-22,Better Opportunity,True
208978,2018-08-26,Compensation,True
209049,2018-09-11,Better Opportunity,True
209111,2018-12-20,Career Growth,True
209210,2018-09-21,Better Opportunity,True
209391,2018-12-28,Better Opportunity,True
209548,2018-12-28,Better Opportunity,True
209701,2018-05-09,Career Growth,True
209739,2018-12-28,Performance Issues,False
209759,2018-10-26,Better Opportunity,True
209996,2018-08-03,Personal Reasons,True
210025,2018-10-01,Personal Reasons,True
210122,2018-09-23,Personal Reasons,True
210774,2018-12-01,Better Opportunity,True
210824,2018-12-25,Compensation,True
211273,2018-12-12,Career Growth,True
211274,2018-09-22,Better Opportunity,True
211349,2018-10-31,Better Opportunity,True
211737,2018-12-21,Better Opportunity,True
211947,2018-10-23,Better Opportunity,True
212000,2018-07-11,Career Growth,True
212077,2018-09-26,Compensation,True
212239,2018-12-17,Better Opportunity,True
212317,2018-12-17,Better Opportunity,True
212921,2018-12-19,Compensation,True
213063,2018-12-20,Personal Reasons,True
213147,2018-11-04,Better Opportunity,True
213362,2018-08-15,Performance Issues,False
213587,2018-11-30,Better Opportunity,True
213733,2018-10-02,Career Growth,True
214041,2018-11-06,Compensation,True
214256,2018-09-22,Better Opportunity,True
214457,2018-12-15,Better Opportunity,True
214462,2018-01-13,Personal Reasons,True
214495,2018-10-14,Better Opportunity,True
214551,2018-12-25,Career Growth,True
215156,2018-10-27,Personal Reasons,True
215610,2018-12-02,Personal Reasons,True
215748,2018-12-23,Personal Reasons,True
216247,2018-12-18,Better Opportunity,True
216424,2018-08-19,Career Growth,True
216877,2018-12-07,Relocation,True
217032,2018-09-22,Career Growth,True
217438,2018-12-29,Personal Reasons,True
217473,2018-04-07,Career Growth,True
217950,2018-07-17,Better Opportunity,True
218488,2018-12-23,Better Opportunity,True
218517,2018-11-12,Better Opportunity,True
218571,2018-07-13,Better Opportunity,True
218689,2018-11-25,Personal Reasons,True
218807,2018-07-05,Personal Reasons,True
218873,2018-11-10,Career Growth,True
219313,2018-11-16,Compensation,True
219392,2018-03-31,Better Opportunity,True
219825,2018-11-01,Better Opportunity,True
220611,2018-07-04,Career Growth,True
220629,2018-12-10,Personal Reasons,True
220814,2018-12-28,Compensation,True
221523,2018-10-28,Performance Issues,False
221846,2018-10-01,Career Growth,True
221950,2018-08-18,Better Opportunity,True
222059,2018-11-27,Personal Reasons,True
222175,2018-12-23,Better Opportunity,True
222521,2018-11-04,Career Growth,True
222537,2018-09-25,Better Opportunity,True
222895,2018-03-10,Better Opportunity,True
222906,2018-05-29,Better Opportunity,True
222977,2018-10-08,Better Opportunity,True
223189,2018-12-28,Personal Reasons,True
223514,2018-11-17,Career Growth,True
224983,2018-11-09,Performance Issues,False
225951,2018-12-14,Compensation,True
226001,2018-12-02,Compensation,True
226313,2018-11-21,Better Opportunity,True
226391,2018-09-26,Better Opportunity,True
226672,2018-11-22,Performance Issues,False
227027,2018-12-20,Better Opportunity,True
227178,2018-06-17,Compensation,True
227771,2018-09-03,Career Growth,True
227920,2018-05-25,Compensation,True
228069,2018-11-21,Relocation,True
228818,2018-12-05,Career Growth,True
228914,2018-11-20,Higher Education,True
228975,2018-11-11,Better Opportunity,True
229183,2018-04-21,Better Opportunity,True
