exit_id,employee_id,exit_date,exit_reason,voluntary
700001,200004,2026-01-16,Career Growth,Yes
700002,200006,2025-05-06,Career Growth,Yes
700003,200010,2025-09-06,Compensation,Yes
700004,200023,2026-04-14,Personal Reasons,Yes
700005,200027,2022-08-21,Career Growth,Yes
700006,200036,2025-12-27,Personal Reasons,Yes
700007,200038,2024-12-08,Performance Issues,No
700008,200040,2025-07-28,Personal Reasons,Yes
700009,200042,2026-02-16,Better Opportunity,Yes
700010,200048,2021-12-12,Better Opportunity,Yes
700011,200059,2023-05-22,Better Opportunity,Yes
700012,200072,2023-06-17,Performance Issues,No
700013,200076,2026-01-21,Better Opportunity,Yes
700014,200082,2022-04-18,Compensation,Yes
700015,200085,2024-09-18,Personal Reasons,Yes
700016,200090,2024-07-24,Personal Reasons,Yes
700017,200103,2021-08-12,Better Opportunity,Yes
700018,200111,2022-11-10,Better Opportunity,Yes
700019,200126,2023-08-10,Better Opportunity,Yes
700020,200136,2025-01-04,Compensation,Yes
700021,200142,2023-02-23,Better Opportunity,Yes
700022,200143,2025-09-07,Better Opportunity,Yes
700023,200146,2025-05-24,Career Growth,Yes
700024,200153,2025-08-07,Better Opportunity,Yes
700025,200155,2022-03-09,Personal Reasons,Yes
700026,200159,2021-07-30,Performance Issues,No
700027,200165,2026-06-28,Compensation,Yes
700028,200169,2025-09-05,Performance Issues,No
700029,200171,2020-08-28,Compensation,Yes
700030,200174,2023-01-19,Better Opportunity,Yes
700031,200176,2025-05-06,Compensation,Yes
700032,200180,2019-11-16,Better Opportunity,Yes
700033,200185,2023-05-05,Personal Reasons,Yes
700034,200186,2025-11-17,Compensation,Yes
700035,200194,2024-11-21,Compensation,Yes
700036,200198,2025-08-14,Career Growth,Yes
700037,200209,2023-01-01,Compensation,Yes
700038,200213,2025-11-05,Better Opportunity,Yes
700039,200217,2023-03-24,Career Growth,Yes
700040,200218,2025-09-12,Better Opportunity,Yes
700041,200222,2019-02-15,Career Growth,Yes
700042,200228,2022-06-12,Career Growth,Yes
700043,200233,2025-03-15,Career Growth,Yes
700044,200234,2020-10-11,Better Opportunity,Yes
700045,200236,2025-05-24,Career Growth,Yes
700046,200241,2026-01-22,Career Growth,Yes
700047,200262,2024-10-14,Career Growth,Yes
700048,200265,2025-10-19,Compensation,Yes
700049,200273,2025-05-18,Better Opportunity,Yes
700050,200276,2026-04-18,Better Opportunity,Yes
700051,200278,2026-04-29,Personal Reasons,Yes
700052,200289,2019-11-02,Better Opportunity,Yes
700053,200292,2024-06-25,Career Growth,Yes
700054,200305,2026-02-23,Better Opportunity,Yes
700055,200315,2025-10-25,Compensation,Yes
700056,200317,2026-03-23,Personal Reasons,Yes
700057,200319,2022-06-23,Career Growth,Yes
700058,200320,2023-04-29,Better Opportunity,Yes
700059,200340,2021-09-11,Performance Issues,No
700060,200345,2026-01-02,Better Opportunity,Yes
700061,200346,2026-02-04,Better Opportunity,Yes
700062,200348,2024-09-14,Better Opportunity,Yes
700063,200351,2026-02-17,Performance Issues,No
700064,200364,2025-04-17,Compensation,Yes
700065,200366,2026-03-05,Better Opportunity,Yes
700066,200372,2020-02-20,Better Opportunity,Yes
700067,200374,2024-11-15,Better Opportunity,Yes
700068,200382,2024-09-28,Compensation,Yes
700069,200387,2022-04-10,Better Opportunity,Yes
700070,200388,2024-04-22,Better Opportunity,Yes
700071,200392,2022-12-09,Career Growth,Yes
700072,200396,2024-08-03,Compensation,Yes
700073,200401,2025-09-22,Career Growth,Yes
700074,200403,2024-11-30,Performance Issues,No
700075,200405,2022-05-03,Compensation,Yes
700076,200406,2026-04-09,Better Opportunity,Yes
700077,200416,2025-03-07,Relocation,Yes
700078,200418,2026-05-06,Compensation,Yes
700079,200419,2023-01-14,Better Opportunity,Yes
700080,200425,2026-04-15,Better Opportunity,Yes
700081,200426,2025-05-05,Personal Reasons,Yes
700082,200434,2023-04-13,Better Opportunity,Yes
700083,200448,2022-09-20,Personal Reasons,Yes
700084,200452,2026-05-12,Better Opportunity,Yes
700085,200462,2025-12-01,Better Opportunity,Yes
700086,200472,2025-11-19,Career Growth,Yes
700087,200504,2022-12-14,Better Opportunity,Yes
700088,200507,2019-01-16,Career Growth,Yes
700089,200513,2026-02-19,Career Growth,Yes
700090,200531,2022-03-04,Better Opportunity,Yes
700091,200534,2023-08-08,Career Growth,Yes
700092,200536,2026-01-08,Career Growth,Yes
