manager_id,employee_id,department,location,team_size,targeted_team_size,experience_years
MGR0001,204742,Data Science,Noida,0,9,18
MGR0002,228329,Marketing,Hyderabad,0,12,8
MGR0003,229113,HR,Noida,0,11,11
MGR0004,226003,Sales,Hyderabad,0,9,10
MGR0005,209501,Support,Noida,0,9,18
MGR0006,214572,Support,Bengaluru,0,14,17
MGR0007,228128,Sales,Hyderabad,0,8,8
MGR0008,225635,Sales,Noida,0,11,9
MGR0009,232228,Support,Noida,0,8,11
MGR0010,214606,Cyber Security,Bengaluru,0,11,16
MGR0011,202665,Sales,Mumbai,0,14,19
MGR0012,223908,Data Science,Mumbai,0,15,11
MGR0013,217770,Engineering,Chennai,0,12,17
MGR0014,228257,Marketing,Bengaluru,0,8,20
MGR0015,234827,HR,Pune,0,10,20
MGR0016,222835,Finance,Mumbai,0,14,19
MGR0017,212145,Cyber Security,Mumbai,0,12,13
MGR0018,232469,Cloud,Noida,0,11,10
MGR0019,222942,Cyber Security,Noida,0,13,20
MGR0020,213599,Cloud,Chennai,0,9,9
MGR0021,203031,Data Science,Mumbai,0,9,14
MGR0022,220226,Marketing,Chennai,0,13,13
MGR0023,224649,Cloud,Pune,0,12,17
MGR0024,206952,Sales,Bengaluru,0,8,20
MGR0025,204132,HR,Noida,0,15,19
MGR0026,211391,Sales,Mumbai,0,9,16
MGR0027,212432,Support,Hyderabad,0,14,22
MGR0028,209157,Support,Mumbai,0,12,9
MGR0029,214248,Cloud,Hyderabad,0,13,21
MGR0030,211666,Cloud,Hyderabad,0,11,17
MGR0031,231843,Sales,Chennai,0,9,19
MGR0032,217866,Cyber Security,Mumbai,0,11,8
MGR0033,219342,HR,Mumbai,0,12,20
MGR0034,222548,Support,Hyderabad,0,11,9
MGR0035,232537,Engineering,Mumbai,0,9,21
MGR0036,213718,Engineering,Chennai,0,12,14
MGR0037,214030,Finance,Noida,0,13,15
MGR0038,221738,Engineering,Bengaluru,0,13,10
MGR0039,217888,HR,Pune,0,11,13
MGR0040,206206,Cyber Security,Noida,0,12,18
MGR0041,231392,HR,Pune,0,9,19
MGR0042,210455,Sales,Chennai,0,10,17
MGR0043,226772,Engineering,Bengaluru,0,11,16
MGR0044,211212,Engineering,Bengaluru,0,15,10
MGR0045,230512,Cyber Security,Pune,0,12,14
MGR0046,228998,HR,Hyderabad,0,11,22
MGR0047,204458,Support,Noida,0,13,18
MGR0048,229804,Cyber Security,Mumbai,0,8,21
MGR0049,205823,Marketing,Noida,0,8,11
MGR0050,230595,Cyber Security,Mumbai,0,13,20
MGR0051,213036,Marketing,Pune,0,12,14
MGR0052,233118,Marketing,Chennai,0,11,9
MGR0053,220175,Support,Noida,0,13,22
MGR0054,213565,Marketing,Hyderabad,0,15,11
MGR0055,214645,Finance,Mumbai,0,15,14
MGR0056,204580,Cyber Security,Noida,0,12,10
MGR0057,226540,Marketing,Mumbai,0,11,10
MGR0058,214541,Cyber Security,Chennai,0,12,19
MGR0059,213396,Support,Mumbai,0,14,19
MGR0060,201758,Support,Chennai,0,14,22
MGR0061,200670,Finance,Pune,0,11,13
MGR0062,221660,Marketing,Chennai,0,15,10
MGR0063,205520,HR,Bengaluru,0,8,9
MGR0064,204551,Cyber Security,Noida,0,9,21
MGR0065,214559,HR,Mumbai,0,10,10
MGR0066,223225,Sales,Noida,0,14,20
MGR0067,212045,Engineering,Bengaluru,0,9,17
MGR0068,221709,Cyber Security,Chennai,0,14,14
MGR0069,204358,Data Science,Mumbai,0,15,17
MGR0070,231763,Cyber Security,Bengaluru,0,12,16
MGR0071,222977,Cloud,Hyderabad,0,8,16
MGR0072,218197,HR,Noida,0,9,18
MGR0073,222733,Cyber Security,Pune,0,12,18
MGR0074,218944,Engineering,Hyderabad,0,13,20
MGR0075,222392,Sales,Chennai,0,12,9
MGR0076,211207,Data Science,Hyderabad,0,10,14
MGR0077,215664,Cloud,Chennai,0,8,15
MGR0078,221552,Data Science,Pune,0,12,19
MGR0079,216649,Support,Pune,0,10,16
MGR0080,204154,Cloud,Mumbai,0,9,16
MGR0081,211477,Cyber Security,Noida,0,12,21
MGR0082,205542,HR,Mumbai,0,11,21
MGR0083,234379,Support,Chennai,0,13,10
MGR0084,206706,Sales,Pune,0,10,20
MGR0085,205857,Marketing,Chennai,0,8,16
MGR0086,230668,Cloud,Mumbai,0,13,17
MGR0087,209897,HR,Hyderabad,0,8,15
MGR0088,200385,Support,Mumbai,0,13,9
MGR0089,213321,Cloud,Pune,0,12,22
MGR0090,211783,Support,Chennai,0,8,11
MGR0091,217773,Cloud,Pune,0,9,11
MGR0092,227803,Marketing,Hyderabad,0,15,9
MGR0093,222523,Support,Bengaluru,0,9,21
MGR0094,216056,HR,Chennai,0,10,20
MGR0095,217957,Sales,Hyderabad,0,15,10
MGR0096,204669,HR,Pune,0,10,16
MGR0097,201635,Cloud,Hyderabad,0,14,12
MGR0098,206272,Data Science,Hyderabad,0,11,11
MGR0099,200783,Marketing,Chennai,0,12,19
MGR0100,229741,Engineering,Chennai,0,13,14
MGR0101,202069,Sales,Bengaluru,0,15,15
MGR0102,223266,Sales,Chennai,0,11,9
MGR0103,201839,Sales,Mumbai,0,9,11
MGR0104,210866,Data Science,Hyderabad,0,8,13
MGR0105,202040,Sales,Noida,0,11,17
MGR0106,222566,Engineering,Chennai,0,11,17
MGR0107,216470,Sales,Hyderabad,0,9,8
MGR0108,215343,Sales,Pune,0,8,19
MGR0109,215311,Cyber Security,Noida,0,9,11
MGR0110,219632,HR,Mumbai,0,8,22
MGR0111,205123,Sales,Hyderabad,0,13,21
MGR0112,213330,Cyber Security,Hyderabad,0,11,9
MGR0113,232741,Engineering,Bengaluru,0,15,12
MGR0114,225645,Marketing,Noida,0,10,11
MGR0115,210389,HR,Noida,0,15,19
MGR0116,203828,Cloud,Noida,0,15,11
MGR0117,204780,Engineering,Chennai,0,14,20
MGR0118,200866,Sales,Pune,0,9,11
MGR0119,220308,Cyber Security,Bengaluru,0,14,9
MGR0120,230601,Finance,Pune,0,14,13
MGR0121,223737,Finance,Noida,0,15,14
MGR0122,208444,Engineering,Pune,0,8,21
MGR0123,209305,Engineering,Bengaluru,0,9,18
MGR0124,210164,Cloud,Noida,0,14,8
MGR0125,219230,Sales,Pune,0,13,19
MGR0126,234411,Data Science,Bengaluru,0,9,20
MGR0127,222754,Cyber Security,Chennai,0,11,11
MGR0128,232026,Engineering,Pune,0,15,11
MGR0129,200753,Engineering,Mumbai,0,14,10
MGR0130,230696,Support,Pune,0,12,10
MGR0131,208976,Sales,Hyderabad,0,11,15
MGR0132,217451,Cyber Security,Mumbai,0,9,21
MGR0133,223032,Marketing,Mumbai,0,9,15
MGR0134,218309,Cyber Security,Hyderabad,0,8,8
MGR0135,218886,Sales,Bengaluru,0,11,9
MGR0136,203088,Engineering,Hyderabad,0,14,10
MGR0137,208728,Finance,Hyderabad,0,15,15
MGR0138,210451,Data Science,Hyderabad,0,14,11
MGR0139,207496,Cloud,Hyderabad,0,8,22
MGR0140,205884,Support,Noida,0,14,10
MGR0141,213908,Cloud,Noida,0,14,8
MGR0142,214573,Data Science,Pune,0,15,12
MGR0143,202486,Marketing,Pune,0,14,12
MGR0144,232966,Data Science,Noida,0,15,19
MGR0145,227429,Sales,Noida,0,11,10
MGR0146,222872,Cyber Security,Bengaluru,0,11,12
MGR0147,209716,Engineering,Chennai,0,8,8
MGR0148,204783,Support,Pune,0,13,19
MGR0149,229632,HR,Bengaluru,0,8,8
MGR0150,208609,Sales,Hyderabad,0,15,17
MGR0151,227061,Engineering,Bengaluru,0,10,16
MGR0152,202460,Sales,Hyderabad,0,9,8
MGR0153,204057,Sales,Hyderabad,0,10,21
MGR0154,228895,Cloud,Mumbai,0,9,9
MGR0155,225835,Finance,Chennai,0,11,18
MGR0156,201685,Cyber Security,Noida,0,9,14
MGR0157,215257,Cloud,Hyderabad,0,11,22
MGR0158,234493,Finance,Bengaluru,0,8,17
MGR0159,202052,Marketing,Chennai,0,9,17
MGR0160,202100,Cloud,Mumbai,0,13,14
MGR0161,226780,HR,Pune,0,12,22
MGR0162,226050,Finance,Chennai,0,13,11
MGR0163,200903,Support,Mumbai,0,12,11
MGR0164,228362,Engineering,Bengaluru,0,10,14
MGR0165,225137,HR,Chennai,0,12,18
