employee_id,project_name,client_name,start_date,end_date,billable
200002,SEO & Content Campaign,Internal,2018-05-11,2018-11-18,False
200008,CRM Integration,Salesforce,2018-02-04,2018-08-03,True
200010,Retail Analytics,Adobe,2018-07-21,,True
200020,Global Account Pitching,TechGiant,2018-04-06,,True
200031,Ledger Reconciliation,TCS,2018-05-03,,True
200032,SEO & Content Campaign,Internal,2018-07-17,,False
200041,Sentinel Security,Deloitte,2018-09-11,,True
200051,Kubernetes Migration,Infosys,2018-07-10,,True
200054,AI Recommendation Engine,Internal,2018-09-03,,False
200056,CRM Integration,Salesforce,2018-01-20,2018-12-12,True
200066,PeopleLens Portal,Internal,2018-06-03,,False
200069,Sentinel Security,Deloitte,2018-12-23,,True
200084,Penetration Testing,Accenture,2018-05-24,,True
200102,Kubernetes Migration,Infosys,2018-09-13,,True
200104,Phoenix Rewrite,Google,2018-08-12,,True
200112,Retail Analytics,Adobe,2018-08-24,,True
200117,Apollo Core,Microsoft,2018-05-18,,True
200118,Apollo Core,Microsoft,2018-03-10,,True
200119,DataHub Predictive,JP Morgan,2018-02-12,2018-09-20,True
200127,Sentinel Security,Deloitte,2018-01-28,2019-11-23,True
200132,Sentinel Security,Deloitte,2018-03-08,2026-06-17,True
200138,Ledger Reconciliation,TCS,2018-03-16,,True
200144,Ledger Reconciliation,TCS,2018-09-18,,True
200147,Orion API,Amazon,2018-08-24,,True
200173,Digital Brand Relaunch,RetailCorp,2018-03-04,,True
200179,CloudMigrate v2,Oracle,2018-02-24,2018-09-26,True
200181,Retail Analytics,Adobe,2018-11-09,,True
200182,Global Account Pitching,TechGiant,2018-11-24,,True
200187,Kubernetes Migration,Infosys,2018-03-23,2018-11-10,True
200191,Digital Brand Relaunch,RetailCorp,2018-05-08,2018-12-16,True
200192,Phoenix Rewrite,Google,2018-08-25,,True
200201,Digital Brand Relaunch,RetailCorp,2018-02-24,2018-10-01,True
200203,Kubernetes Migration,Infosys,2018-12-31,,True
200205,SEO & Content Campaign,Internal,2018-05-11,,False
200211,Global Account Pitching,TechGiant,2018-09-07,,True
200215,SEO & Content Campaign,Internal,2018-12-30,,False
200220,SLA Helpdesk Migration,TelcoGroup,2018-12-06,,True
200230,Retail Analytics,Adobe,2018-01-03,2018-10-06,True
200257,DataHub Predictive,JP Morgan,2018-12-15,,True
200261,Recruitment Automation,Internal,2018-12-04,,False
200267,CRM Integration,Salesforce,2018-05-23,,True
200280,Tax Calculator Portal,Internal,2018-07-05,,False
200286,Digital Brand Relaunch,RetailCorp,2018-10-28,,True
200300,AI Recommendation Engine,Internal,2018-10-30,,False
200314,Desktop Automation Support,Internal,2018-11-20,,False
200327,SLA Helpdesk Migration,TelcoGroup,2018-09-20,2026-05-28,True
200339,Digital Brand Relaunch,RetailCorp,2018-10-13,,True
200350,Apollo Core,Microsoft,2018-08-26,2026-06-05,True
200371,Orion API,Amazon,2018-03-28,,True
200375,Tax Calculator Portal,Internal,2018-12-26,,False
200382,Kubernetes Migration,Infosys,2018-02-08,,True
200384,CRM Integration,Salesforce,2018-09-13,2018-12-15,True
200392,Vulnerability Patcher,Internal,2018-11-10,,False
200403,Ledger Reconciliation,TCS,2018-07-17,,True
200410,Desktop Automation Support,Internal,2018-07-07,,False
200435,CloudMigrate v2,Oracle,2018-02-09,2024-06-18,True
200441,Recruitment Automation,Internal,2018-09-22,,False
200444,Recruitment Automation,Internal,2018-07-09,,False
200468,Kubernetes Migration,Infosys,2018-06-28,,True
200477,PeopleLens Portal,Internal,2018-07-02,,False
200478,DevOps Automation,Internal,2018-01-01,,False
200488,Retail Analytics,Adobe,2018-09-25,,True
200494,Apollo Core,Microsoft,2018-01-07,,True
200496,Kubernetes Migration,Infosys,2018-05-06,,True
200504,SLA Helpdesk Migration,TelcoGroup,2018-12-31,,True
200516,CloudMigrate v2,Oracle,2018-03-23,2018-12-27,True
200523,CRM Integration,Salesforce,2018-01-25,,True
200533,Penetration Testing,Accenture,2018-06-09,2026-03-26,True
200539,SLA Helpdesk Migration,TelcoGroup,2018-05-17,,True
200552,Orion API,Amazon,2018-08-23,,True
200580,Digital Brand Relaunch,RetailCorp,2018-03-27,,True
200593,Vulnerability Patcher,Internal,2018-08-09,,False
200600,Vulnerability Patcher,Internal,2018-12-08,,False
200606,SLA Helpdesk Migration,TelcoGroup,2018-01-10,,True
200614,Penetration Testing,Accenture,2018-02-12,,True
200624,Digital Brand Relaunch,RetailCorp,2018-02-19,2018-06-15,True
200626,Sentinel Security,Deloitte,2018-08-03,,True
200632,SEO & Content Campaign,Internal,2018-06-03,,False
200635,DevOps Automation,Internal,2018-03-14,,False
200639,Desktop Automation Support,Internal,2018-10-28,2020-08-26,False
200647,DevOps Automation,Internal,2018-11-27,,False
200659,DevOps Automation,Internal,2018-07-15,,False
200660,SEO & Content Campaign,Internal,2018-10-04,,False
200671,SLA Helpdesk Migration,TelcoGroup,2018-01-19,2018-08-06,True
200673,DataHub Predictive,JP Morgan,2018-07-24,,True
200680,SLA Helpdesk Migration,TelcoGroup,2018-05-19,2020-09-30,True
200683,Penetration Testing,Accenture,2018-03-23,,True
200688,SLA Helpdesk Migration,TelcoGroup,2018-09-07,,True
200690,Global Account Pitching,TechGiant,2018-08-08,,True
200732,SEO & Content Campaign,Internal,2018-01-11,,False
200739,DevOps Automation,Internal,2018-08-15,,False
200743,Tax Calculator Portal,Internal,2018-02-22,,False
200772,Vulnerability Patcher,Internal,2018-06-01,,False
200774,AI Recommendation Engine,Internal,2018-03-28,,False
200781,PeopleLens Portal,Internal,2018-11-07,,False
200790,Digital Brand Relaunch,RetailCorp,2018-09-26,2019-06-12,True
200794,CRM Integration,Salesforce,2018-01-19,,True
200820,Penetration Testing,Accenture,2018-03-17,2019-04-04,True
200823,Recruitment Automation,Internal,2018-10-12,,False
200829,Vulnerability Patcher,Internal,2018-10-05,2023-08-20,False
200832,AI Recommendation Engine,Internal,2018-05-10,,False
200835,Orion API,Amazon,2018-11-17,,True
200841,Recruitment Automation,Internal,2018-07-04,,False
200853,Vulnerability Patcher,Internal,2018-02-12,,False
200859,DevOps Automation,Internal,2018-05-09,2020-01-27,False
200865,Global Account Pitching,TechGiant,2018-05-17,,True
200869,Penetration Testing,Accenture,2018-09-20,,True
200879,Phoenix Rewrite,Google,2018-11-26,,True
200885,Vulnerability Patcher,Internal,2018-10-31,,False
200887,Penetration Testing,Accenture,2018-09-12,,True
200892,AI Recommendation Engine,Internal,2018-06-21,2024-02-18,False
200896,Desktop Automation Support,Internal,2018-05-24,,False
200926,PeopleLens Portal,Internal,2018-01-28,,False
200933,SEO & Content Campaign,Internal,2018-02-14,,False
200941,Recruitment Automation,Internal,2018-03-14,,False
200947,Digital Brand Relaunch,RetailCorp,2018-08-05,,True
200949,DevOps Automation,Internal,2018-04-21,,False
200978,Ledger Reconciliation,TCS,2018-06-20,,True
200981,Phoenix Rewrite,Google,2018-02-21,,True
200991,Ledger Reconciliation,TCS,2018-03-06,,True
200994,Kubernetes Migration,Infosys,2018-05-05,,True
200995,Tax Calculator Portal,Internal,2018-05-09,,False
201002,Global Account Pitching,TechGiant,2018-08-14,,True
201007,Desktop Automation Support,Internal,2018-02-10,2023-08-26,False
201016,Apollo Core,Microsoft,2018-06-26,,True
201020,CRM Integration,Salesforce,2018-05-28,2023-04-17,True
201021,Global Account Pitching,TechGiant,2018-10-28,,True
201027,CloudMigrate v2,Oracle,2018-08-26,,True
201028,Vulnerability Patcher,Internal,2018-06-29,,False
201030,CRM Integration,Salesforce,2018-05-23,,True
201050,SEO & Content Campaign,Internal,2018-11-05,2021-04-07,False
201054,Recruitment Automation,Internal,2018-02-26,,False
201066,Ledger Reconciliation,TCS,2018-03-12,,True
201068,PeopleLens Portal,Internal,2018-11-03,,False
201071,DevOps Automation,Internal,2018-08-14,,False
201080,PeopleLens Portal,Internal,2018-07-26,,False
201086,Phoenix Rewrite,Google,2018-02-18,,True
201090,Global Account Pitching,TechGiant,2018-04-02,,True
201093,Orion API,Amazon,2018-10-04,2021-09-19,True
201098,Sentinel Security,Deloitte,2018-09-15,,True
201100,Sentinel Security,Deloitte,2018-07-23,,True
