employee_id,project_id,project_name,project_type,client_industry,start_date,end_date,role_in_project
EMP_00001,PRJ_0048,Project_0048,Consulting,Manufacturing,2023-12-22,2024-02-01,Analyst
EMP_00001,PRJ_0106,Project_0106,Product Development,Energy,2023-12-22,2024-12-31,Manager
EMP_00001,PRJ_0155,Project_0155,Product Development,Energy,2023-12-22,2024-06-24,Senior Developer
EMP_00001,PRJ_0139,Project_0139,Internal,BFSI,2023-12-22,2024-12-31,Consultant
EMP_00002,PRJ_0154,Project_0154,Consulting,Healthcare,2022-10-27,2023-03-28,Architect
EMP_00002,PRJ_0104,Project_0104,Product Development,Retail & E-Commerce,2022-10-27,2023-03-28,DevOps
EMP_00002,PRJ_0033,Project_0033,Consulting,Telecom,2022-12-25,2023-03-28,Tech Lead
EMP_00002,PRJ_0103,Project_0103,Internal,BFSI,2022-12-23,2023-03-28,Manager
EMP_00003,PRJ_0036,Project_0036,Product Development,Retail & E-Commerce,2023-09-04,2024-02-08,DevOps
EMP_00004,PRJ_0196,Project_0196,R&D,Retail & E-Commerce,2021-04-29,2021-07-21,DevOps
EMP_00004,PRJ_0157,Project_0157,Product Development,Retail & E-Commerce,2022-07-05,2024-03-26,Developer
EMP_00004,PRJ_0054,Project_0054,Consulting,Retail & E-Commerce,2022-09-12,2024-03-26,Senior Developer
EMP_00004,PRJ_0180,Project_0180,Product Development,Manufacturing,2022-12-02,2024-03-26,Developer
EMP_00005,PRJ_0089,Project_0089,Product Development,Manufacturing,2023-02-05,2024-02-14,Manager
EMP_00006,PRJ_0052,Project_0052,Product Development,Retail & E-Commerce,2020-10-20,2022-06-15,Developer
EMP_00006,PRJ_0002,Project_0002,Digital Transformation,BFSI,2020-10-20,2021-05-30,Tech Lead
EMP_00006,PRJ_0180,Project_0180,Product Development,Manufacturing,2022-12-02,2024-08-23,Analyst
EMP_00006,PRJ_0027,Project_0027,Product Development,Healthcare,2021-04-05,2023-01-25,QA Engineer
EMP_00007,PRJ_0137,Project_0137,Internal,Telecom,2021-11-22,2022-09-18,Architect
EMP_00007,PRJ_0167,Project_0167,Consulting,Telecom,2020-03-30,2021-01-19,Tech Lead
EMP_00008,PRJ_0062,Project_0062,R&D,BFSI,2022-08-01,2022-11-20,Consultant
EMP_00009,PRJ_0137,Project_0137,Internal,Telecom,2022-04-17,2022-09-18,Manager
EMP_00010,PRJ_0138,Project_0138,R&D,Telecom,2022-10-31,2023-07-22,QA Engineer
EMP_00010,PRJ_0188,Project_0188,Product Development,Retail & E-Commerce,2021-08-05,2022-06-01,QA Engineer
EMP_00010,PRJ_0047,Project_0047,Product Development,Manufacturing,2020-11-07,2023-05-26,Architect
EMP_00011,PRJ_0039,Project_0039,R&D,BFSI,2022-08-10,2023-08-07,Analyst
EMP_00012,PRJ_0013,Project_0013,Consulting,Healthcare,2023-10-15,2024-12-26,DevOps
EMP_00012,PRJ_0121,Project_0121,Digital Transformation,Retail & E-Commerce,2023-10-15,2023-11-05,QA Engineer
EMP_00012,PRJ_0003,Project_0003,Digital Transformation,Telecom,2023-10-15,2023-12-24,DevOps
