employee_id,effective_date,base_salary,salary_band
EMP_00001,2023-12-22,1038000.0,B3
EMP_00001,2024-04-01,1157200.0,B3
EMP_00002,2022-10-27,830800.0,B3
EMP_00003,2023-09-04,1975100.0,B5
EMP_00003,2024-04-01,2145800.0,B5
EMP_00004,2021-04-29,598900.0,B2
EMP_00004,2022-04-01,666100.0,B2
EMP_00004,2023-04-01,734200.0,B2
EMP_00005,2023-02-05,897200.0,B3
EMP_00005,2024-04-01,1052500.0,B3
EMP_00006,2020-10-20,2385700.0,B5
EMP_00006,2021-04-01,2618800.0,B5
EMP_00006,2022-04-01,2945200.0,B5
EMP_00006,2023-04-01,3200000.0,B5
EMP_00006,2024-04-01,3200000.0,B5
EMP_00007,2020-03-30,1601700.0,B4
EMP_00007,2021-04-01,1807300.0,B4
EMP_00007,2022-04-01,1985400.0,B4
EMP_00007,2023-04-01,2163000.0,B4
EMP_00007,2024-04-01,2200000.0,B4
EMP_00008,2021-07-23,1381500.0,B4
EMP_00008,2022-04-01,1549500.0,B4
EMP_00009,2022-04-17,2085300.0,B5
EMP_00009,2023-04-01,2338900.0,B5
EMP_00009,2024-04-01,2571300.0,B5
EMP_00010,2019-10-08,1564900.0,B4
EMP_00010,2020-04-01,1796500.0,B4
EMP_00010,2021-04-01,2104600.0,B4
EMP_00010,2022-04-01,2200000.0,B4
EMP_00010,2023-04-01,2200000.0,B4
EMP_00011,2022-08-10,648300.0,B2
EMP_00011,2023-04-01,742000.0,B2
EMP_00012,2023-10-15,3425000.0,B6
EMP_00012,2024-04-01,3795800.0,B6
EMP_00013,2020-07-30,3650300.0,B6
EMP_00013,2021-04-01,4043400.0,B6
EMP_00013,2022-04-01,4428300.0,B6
EMP_00013,2023-04-01,5000000.0,B6
EMP_00013,2024-04-01,5000000.0,B6
EMP_00014,2019-10-03,1332600.0,B4
EMP_00014,2020-04-01,1534200.0,B4
EMP_00014,2021-04-01,1707700.0,B4
EMP_00015,2022-06-12,665000.0,B2
EMP_00015,2023-04-01,740300.0,B2
EMP_00015,2024-04-01,829700.0,B2
EMP_00016,2022-06-27,3509800.0,B6
EMP_00016,2023-04-01,4013800.0,B6
EMP_00016,2024-04-01,4427600.0,B6
EMP_00017,2019-05-13,992500.0,B3
EMP_00017,2020-04-01,1079500.0,B3
EMP_00017,2021-04-01,1189900.0,B3
EMP_00017,2022-04-01,1303000.0,B3
EMP_00017,2023-04-01,1400000.0,B3
EMP_00017,2024-04-01,1400000.0,B3
EMP_00018,2023-08-29,931600.0,B3
EMP_00018,2024-04-01,1038700.0,B3
EMP_00019,2023-06-17,3631400.0,B6
EMP_00019,2024-04-01,4063300.0,B6
EMP_00020,2019-03-01,1147200.0,B3
EMP_00020,2020-04-01,1254600.0,B3
EMP_00020,2021-04-01,1400000.0,B3
EMP_00020,2022-04-01,1400000.0,B3
EMP_00020,2023-04-01,1400000.0,B3
EMP_00020,2024-04-01,1400000.0,B3
EMP_00021,2022-10-09,2332300.0,B5
EMP_00021,2023-04-01,2592000.0,B5
EMP_00021,2024-04-01,2883600.0,B5
EMP_00022,2023-11-21,1363200.0,B4
EMP_00022,2024-04-01,1581000.0,B4
EMP_00023,2022-12-20,2653000.0,B5
EMP_00023,2023-04-01,3035400.0,B5
EMP_00023,2024-04-01,3200000.0,B5
EMP_00024,2020-07-31,1431600.0,B4
EMP_00024,2021-04-01,1571000.0,B4
EMP_00024,2022-04-01,1698500.0,B4
EMP_00024,2023-04-01,1875300.0,B4
EMP_00024,2024-04-01,2033100.0,B4
EMP_00025,2021-02-18,2033200.0,B4
EMP_00025,2022-04-01,2200000.0,B4
EMP_00025,2023-04-01,2200000.0,B4
EMP_00025,2024-04-01,2200000.0,B4
EMP_00026,2020-08-19,952100.0,B3
EMP_00026,2021-04-01,1116900.0,B3
EMP_00026,2022-04-01,1214100.0,B3
EMP_00026,2023-04-01,1317800.0,B3
EMP_00027,2020-01-07,3528600.0,B6
EMP_00027,2021-04-01,3939200.0,B6
EMP_00027,2022-04-01,4275600.0,B6
EMP_00027,2023-04-01,4666900.0,B6
EMP_00027,2024-04-01,5000000.0,B6
EMP_00028,2021-02-13,828200.0,B2
EMP_00028,2022-04-01,900000.0,B2
EMP_00029,2020-11-17,1174200.0,B3
EMP_00029,2021-04-01,1298400.0,B3
EMP_00030,2020-06-15,969900.0,B3
EMP_00031,2022-09-25,456600.0,B1
EMP_00031,2023-04-01,515800.0,B1
EMP_00031,2024-04-01,576400.0,B1
EMP_00032,2019-06-01,713600.0,B2
EMP_00032,2020-04-01,789200.0,B2
EMP_00032,2021-04-01,882800.0,B2
EMP_00032,2022-04-01,900000.0,B2
EMP_00032,2023-04-01,900000.0,B2
EMP_00032,2024-04-01,900000.0,B2
EMP_00033,2023-11-25,365200.0,B1
EMP_00033,2024-04-01,397200.0,B1
EMP_00034,2023-10-31,1528100.0,B4
EMP_00034,2024-04-01,1717200.0,B4
EMP_00035,2021-03-26,828600.0,B2
EMP_00035,2022-04-01,900000.0,B2
EMP_00035,2023-04-01,900000.0,B2
EMP_00036,2022-04-30,1003100.0,B3
EMP_00036,2023-04-01,1090000.0,B3
EMP_00036,2024-04-01,1183800.0,B3
EMP_00037,2020-08-06,2300500.0,B5
EMP_00037,2021-04-01,2507500.0,B5
EMP_00037,2022-04-01,2797800.0,B5
EMP_00037,2023-04-01,3040000.0,B5
EMP_00037,2024-04-01,3200000.0,B5
EMP_00038,2020-12-07,1509700.0,B4
EMP_00038,2021-04-01,1667400.0,B4
EMP_00038,2022-04-01,1880500.0,B4
EMP_00038,2023-04-01,2117900.0,B4
EMP_00038,2024-04-01,2200000.0,B4
EMP_00039,2022-01-19,1594700.0,B4
EMP_00039,2023-04-01,1844700.0,B4
EMP_00039,2024-04-01,2047300.0,B4
EMP_00040,2023-10-06,1444300.0,B4
EMP_00040,2024-04-01,1593600.0,B4
EMP_00041,2021-12-02,3540000.0,B6
EMP_00041,2022-04-01,4051100.0,B6
EMP_00041,2023-04-01,4536600.0,B6
EMP_00041,2024-04-01,5000000.0,B6
EMP_00042,2020-04-24,2026000.0,B5
EMP_00043,2021-06-24,2086200.0,B4
EMP_00043,2022-04-01,2200000.0,B4
EMP_00043,2023-04-01,2200000.0,B4
EMP_00043,2024-04-01,2200000.0,B4
EMP_00044,2022-01-12,4834000.0,B6
EMP_00044,2023-04-01,5000000.0,B6
EMP_00045,2023-07-18,1400000.0,B3
EMP_00045,2024-04-01,1400000.0,B3
EMP_00046,2022-08-31,1021500.0,B3
EMP_00046,2023-04-01,1110600.0,B3
EMP_00046,2024-04-01,1208600.0,B3
EMP_00047,2019-08-27,642900.0,B2
EMP_00047,2020-04-01,733400.0,B2
EMP_00048,2023-12-04,650500.0,B2
EMP_00048,2024-04-01,757000.0,B2
